City,Hotel Name,Address,Price Text,Price Numeric,Rating & Reviews,Review Count,Hotel URL
Mumbai,UrbanNest Service Apartments Powai,"Powai, Mumbai (Central Suburbs)","₹ 16,630",16630,Scored 8.5 8.5 Very good 22 reviews,858522.0,https://www.booking.comhttps://www.booking.com/hotel/in/urbannest-service-apartments-powai.en-gb.html
Mumbai,Hilton Mumbai International Airport Hotel,"Western Suburbs, Mumbai (Andheri)","₹ 86,940",86940,"Scored 8.7 8.7 Fabulous 2,415 reviews",87872415.0,https://www.booking.comhttps://www.booking.com/hotel/in/hilton-mumbai-international-airport.en-gb.html
Mumbai,Ginger Mumbai Andheri (MIDC),"Western Suburbs, Mumbai (Andheri)","₹ 27,496",27496,Scored 7.2 7.2 Good 634 reviews,7272634.0,https://www.booking.comhttps://www.booking.com/hotel/in/ginger-mumbai-andheri.en-gb.html
Mumbai,Ginger Mumbai Airport,"Western Suburbs, Mumbai (Western Suburbs)","₹ 42,496",42496,"Scored 7.3 7.3 Good 1,689 reviews",73731689.0,https://www.booking.comhttps://www.booking.com/hotel/in/ginger-mumbai-airport.en-gb.html
Mumbai,"Ginger Mumbai, Andheri","Western Suburbs, Mumbai (Andheri)","₹ 30,496",30496,Scored 6.5 6.5 Review score 974 reviews,6565974.0,https://www.booking.comhttps://www.booking.com/hotel/in/ginger-mumbai-andheri-mumbai.en-gb.html
Mumbai,"Zenith Homes - Premium Suites, near IIT Powai, Hiranandani & Mumbai Airport","Powai, Mumbai (Central Suburbs)","₹ 17,666",17666,Scored 8.0 8.0 Very good 21 reviews,808021.0,https://www.booking.comhttps://www.booking.com/hotel/in/zenith-homes-premium-suites.en-gb.html
Mumbai,Theory9 Premium Service Apartments Khar,"Khar, Mumbai (Western Suburbs)","₹ 34,607",34607,Scored 8.4 8.4 Very good 151 reviews,8484151.0,https://www.booking.comhttps://www.booking.com/hotel/in/samyakth-bliss-by-casa-royale.en-gb.html
Mumbai,Hotel Ariana Residency,"Western Suburbs, Mumbai (Andheri)","₹ 23,285",23285,Scored 7.3 7.3 Good 541 reviews,7373541.0,https://www.booking.comhttps://www.booking.com/hotel/in/ariana-residency.en-gb.html
Mumbai,The Orchid Hotel Mumbai Vile Parle,"Western Suburbs, Mumbai (Western Suburbs)","₹ 46,300",46300,"Scored 7.5 7.5 Good 1,200 reviews",75751200.0,https://www.booking.comhttps://www.booking.com/hotel/in/the-orchid-mumbai.en-gb.html
Mumbai,Theory9 Premium Service Apartments Bandra,"Bandra, Mumbai (Western Suburbs)","₹ 37,459",37459,Scored 8.4 8.4 Very good 440 reviews,8484440.0,https://www.booking.comhttps://www.booking.com/hotel/in/theory9-premium-service-apts-bandra-west.en-gb.html
Mumbai,Novotel Mumbai Juhu Beach,"Juhu, Mumbai (Western Suburbs)","₹ 71,509",71509,"Scored 6.3 6.3 Review score 1,878 reviews",63631878.0,https://www.booking.comhttps://www.booking.com/hotel/in/novotel-mumbai-juhu-beach.en-gb.html
Mumbai,Hotel Heritage formerly known as Comfort Inn Heritage,"Central, Mumbai (Central)","₹ 33,900",33900,Scored 7.5 7.5 Good 452 reviews,7575452.0,https://www.booking.comhttps://www.booking.com/hotel/in/comfort-inn-heritage.en-gb.html
Mumbai,"Lemon Tree Hotel, Kalina BKC, Mumbai","Bandra Kurla Complex, Mumbai (Bandra Kurla Complex)","₹ 31,436",31436,Scored 5.6 5.6 Review score 195 reviews,5656195.0,https://www.booking.comhttps://www.booking.com/hotel/in/lemon-tree-kalina-mumbai.en-gb.html
Mumbai,Hotel Godwin - Colaba,"Colaba, Mumbai (Mumbai Historical And Heritage)","₹ 33,700",33700,Scored 6.8 6.8 Review score 339 reviews,6868339.0,https://www.booking.comhttps://www.booking.com/hotel/in/godwin-mumbai.en-gb.html
Mumbai,Grand Hyatt Mumbai Hotel and Residences,"Santacruz, Mumbai (Western Suburbs)","₹ 72,675",72675,"Scored 8.4 8.4 Very good 1,601 reviews",84841601.0,https://www.booking.comhttps://www.booking.com/hotel/in/grand-hyatt.en-gb.html
Mumbai,Hotel Supreme Comforts - Mumbai Airport,"Western Suburbs, Mumbai (Andheri)","₹ 22,500",22500,Scored 7.6 7.6 Good 316 reviews,7676316.0,https://www.booking.comhttps://www.booking.com/hotel/in/supreme-comforts.en-gb.html
Mumbai,"Aurika, Mumbai International Airport - Luxury by Lemon Tree Hotels","Western Suburbs, Mumbai (Andheri)","₹ 45,040",45040,"Scored 8.5 8.5 Very good 1,398 reviews",85851398.0,https://www.booking.comhttps://www.booking.com/hotel/in/aurika-mumbai-skycity.en-gb.html
