product_id,product_name,category,brand,cost_price,unit_price,margin_pct,profitper_unit
P0000,BrandA Shoulder,Electronics,BrandC,52.75,64.65,18.41,3410.29
P0001,BrandA Responsibility,Electronics,BrandD,11.2,13.26,15.54,148.51
P0002,BrandB Small,Electronics,BrandB,144.62,250.37,42.24,36208.51
P0003,BrandD Continue,Apparel,BrandD,119.91,219.25,45.31,26290.27
P0004,BrandA Indeed,Apparel,BrandD,71.35,88.47,19.35,6312.33
P0005,BrandC Cut,Electronics,BrandA,79.09,112.55,29.73,8901.58
P0006,BrandC Air,Home & Kitchen,BrandA,147.3,233.12,36.81,34338.58
P0007,BrandD State,Electronics,BrandC,166.73,276.22,39.64,46054.16
P0008,BrandC Growth,Apparel,BrandA,13.94,18.19,23.36,253.57
P0009,BrandC Keep,Electronics,BrandB,173.96,250.87,30.66,43641.35
P0010,BrandD Reveal,Home & Kitchen,BrandB,77.19,99.46,22.39,7677.32
P0011,BrandC Laugh,Electronics,BrandB,109.16,144.13,24.26,15733.23
P0012,BrandD Cell,Personal Care,BrandC,197.96,331.78,40.33,65679.17
P0013,BrandB Seat,Home & Kitchen,BrandA,49.66,56.06,11.42,2783.94
P0014,BrandC Argue,Personal Care,BrandC,17.91,34.42,47.97,616.46
P0015,BrandC Peace,Apparel,BrandD,82.15,157.98,48.0,12978.06
P0016,BrandD Crime,Apparel,BrandC,32.23,57.06,43.52,1839.04
P0017,BrandC Firm,Personal Care,BrandD,75.59,151.0,49.94,11414.09
P0018,BrandB Management,Personal Care,BrandA,152.38,285.71,46.67,43536.49
P0019,BrandB Left,Apparel,BrandD,121.3,175.44,30.86,21280.87
P0020,BrandD House,Home & Kitchen,BrandA,137.66,165.62,16.88,22799.25
P0021,BrandC Shake,Home & Kitchen,BrandA,62.23,77.31,19.51,4811.0
P0022,BrandA Much,Home & Kitchen,BrandB,104.0,124.36,16.37,12933.44
P0024,BrandA Black,Home & Kitchen,BrandD,8.8,17.04,48.36,149.95
P0025,BrandC Resource,Apparel,BrandA,51.97,83.7,37.91,4349.89
P0026,BrandA Fund,Electronics,BrandD,164.12,324.99,49.5,53337.36
P0027,BrandB Probably,Apparel,BrandD,189.64,236.79,19.91,44904.86
P0028,BrandD Degree,Apparel,BrandB,144.03,210.15,31.46,30267.9
P0029,BrandC Stuff,Personal Care,BrandD,28.6,37.24,23.2,1065.06
P0030,BrandC War,Electronics,BrandB,119.75,132.5,9.62,15866.88
P0031,BrandA Responsibility,Apparel,BrandA,181.56,340.18,46.63,61763.08
P0032,BrandA Role,Apparel,BrandC,135.45,175.11,22.65,23718.65
P0033,BrandB Training,Personal Care,BrandB,158.0,288.63,45.26,45603.54
P0034,BrandB Draw,Electronics,BrandA,133.5,189.42,29.52,25287.57
P0035,BrandD Sure,Personal Care,BrandA,136.31,270.68,49.64,36896.39
P0036,BrandA Beautiful,Electronics,BrandD,147.0,267.62,45.07,39340.14
P0037,BrandA One,Apparel,BrandB,42.09,63.29,33.5,2663.88
P0038,BrandD The,Apparel,BrandC,95.21,179.66,47.01,17105.43
P0039,BrandA Professor,Personal Care,BrandA,14.86,29.71,49.98,441.49
P0040,BrandA Identify,Electronics,BrandB,37.43,57.53,34.94,2153.35
P0041,BrandB Prevent,Personal Care,BrandA,37.1,40.88,9.25,1516.65
P0042,BrandD Outside,Home & Kitchen,BrandD,60.62,104.69,42.1,6346.31
P0045,BrandB Tend,Electronics,BrandA,171.01,198.66,13.92,33972.85
P0046,BrandA Usually,Apparel,BrandD,28.38,53.96,47.41,1531.38
P0047,BrandB Son,Electronics,BrandA,86.75,141.0,38.48,12231.75
P0048,BrandC Carry,Home & Kitchen,BrandB,135.6,187.5,27.68,25425.0
P0050,BrandC Marriage,Electronics,BrandA,94.37,188.61,49.97,17799.13
P0051,BrandA Table,Electronics,BrandB,103.65,126.37,17.98,13098.25
P0052,BrandC Agency,Electronics,BrandB,77.06,95.71,19.49,7375.41
P0053,BrandC Decision,Electronics,BrandC,186.69,222.76,16.19,41587.06
P0054,BrandB Our,Home & Kitchen,BrandA,178.49,315.6,43.44,56331.44
P0055,BrandB Day,Home & Kitchen,BrandC,122.94,214.63,42.72,26386.61
P0056,BrandB Operation,Home & Kitchen,BrandD,53.97,103.48,47.84,5584.82
P0057,BrandA Majority,Electronics,BrandD,166.72,190.01,12.26,31678.47
P0059,BrandD Mother,Electronics,BrandA,19.67,37.27,47.22,733.1
P0060,BrandB Society,Electronics,BrandC,118.59,146.26,18.92,17344.97
P0061,BrandB Off,Electronics,BrandC,76.11,147.64,48.45,11236.88
