order_id,order_date,customer_id,product_id,store_id,sales_channel,quantity,unit_price,discount_pct,total_amount,order_month,order_year,revenue,discount_amount,net_sales,cost_price,profit
O00000,2025-01-31,C0125,P1086,Online,Online,2,80.63,0.05,153.2,1,2025,161.26,0.08,161.18,69.87,21.52
O00001,2025-09-29,C0633,P0973,S042,In-Store,20,209.16,0.05,3974.0,9,2025,4183.2,2.09,4181.11,120.11,1781.0
O00002,2024-08-29,C0653,P0659,Online,Online,2,218.6,0.1,393.48,8,2024,437.2,0.44,436.76,173.17,90.86
O00003,2025-05-13,C0753,P0666,S014,In-Store,1,78.53,0.2,62.82,5,2025,78.53,0.16,78.37,65.86,12.67
O00004,2025-07-22,C0627,P0166,S017,In-Store,1,344.93,0.2,275.94,7,2025,344.93,0.69,344.24,174.83,170.1
O00005,2025-12-16,C0716,P0205,S018,In-Store,1,14.31,0.05,13.59,12,2025,14.31,0.01,14.3,7.9,6.41
O00006,2024-09-25,C0532,P1171,S045,In-Store,2,230.62,0.0,461.24,9,2024,461.24,0.0,461.24,185.92,89.4
O00007,2024-09-27,C0515,P0178,S043,In-Store,2,129.07,0.2,206.51,9,2024,258.14,0.52,257.62,94.08,69.98
O00008,2025-03-01,C0456,P0236,S034,In-Store,2,196.93,0.05,374.17,3,2025,393.86,0.2,393.66,173.04,47.78
O00009,2024-12-02,C0174,P0183,Online,Online,3,304.66,0.0,913.98,12,2024,913.98,0.0,913.98,181.16,370.5
O00010,2024-05-03,C0334,P0785,S014,In-Store,1,57.39,0.1,51.65,5,2024,57.39,0.06,57.33,46.09,11.3
O00011,2025-04-12,C0686,P0252,S059,In-Store,2,231.15,0.2,369.84,4,2025,462.3,0.92,461.38,196.57,69.16
O00012,2025-11-13,C0708,P0681,S059,In-Store,1,342.55,0.0,342.55,11,2025,342.55,0.0,342.55,190.14,152.41
O00013,2025-10-05,C0386,P0781,S050,In-Store,1,153.3,0.2,122.64,10,2025,153.3,0.31,152.99,99.94,53.36
O00014,2025-11-18,C0228,P0530,Online,Online,2,274.32,0.0,548.64,11,2025,548.64,0.0,548.64,147.34,253.96
O00015,2025-05-06,C0348,P0528,S047,In-Store,2,102.08,0.0,204.16,5,2025,204.16,0.0,204.16,65.43,73.3
O00016,2024-07-16,C0130,P0641,S036,In-Store,1,240.92,0.0,240.92,7,2024,240.92,0.0,240.92,123.63,117.29
O00017,2025-01-19,C0604,P1096,Online,Online,1,214.66,0.2,171.73,1,2025,214.66,0.43,214.23,109.25,105.41
